stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
George Zacco,,,,M,[1],199x,RU:,\Un,,
Pia Zadora,1981-1983,Zadora,Pia,F,1956,199x,R:sexpot,USA,,,
Lenore Zann,,,,F,[1],199x,RU:,\Un,,
Frank Zappa,,,,M,[1],199x,RU:,\Un,,
Michael Zaslow,,,,M,[1],199x,RU:,\Un,,
Suzanne Zenor,,,,F,[1],199x,RU:,\Un,,
Renee Zellweger,-1997,fmn,gn,G,1970,199x,RU:,\Un,,,
Delphine Zentout,1989,Zentout,Delphine,F,1973,199x,R:seductive,\Fr,,,
Anthony Zerbe,1967-1983,Zerbe,Anthony,M,,,R:character,USA,[4.62],,,
Mai Zetterling,1944-1983,Zetterling,Mai,F,1925,199x,R:lead,\Sw,[4.774],,,
Carla Ziegfeld,,,,F,[1],199x,RU:,\Un,,
Sonja Ziemann,1942-1970,Ziemann,Sonja,F,1926,199x,R:lead,\Ge,,,
Efrem Zimbalist~Jr.,1949-1978,Zimbalist,Efrem Jr.,M,1918,199x,R:lead,USA,[34.298],Ww(Hitchcock),
Laurie Zimmer,,,,F,[1],199x,RU:,\Un,,
Adrian Zmed,,,,M,[1],199x,RU:,\Un,,Cit(3),
Vera Zorina,1939-1944,Hartwig,Eva Brigitta,F,1917,199x,RU:,\No,,,
George Zucco,1930-1951,Zucco,George,M,1886,1960,R:sepulchral-toned,Great Britain,,,
David Zucker,,,,M,[1],199x,RU:,\Un,,Cit(1),
Jerry Zucker,,,,M,[1],199x,RU:,\Un,,Cit(1) Also(D),
Daphne Zuniga,,,,F,[1],199x,RU:,\Un,,Cit(0),
Frantisek Zvarik,,,,M,[1],199x,RU:,\Un,,Cit(1),
Darrell Zwerling,,,,M,[1],199x,RU:,\Un,,Cit(1),
