stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Leslie Uggams,1972-1979,Uggams,Leslie,F,1943,199x,R:black gamine,USA,,,
Liv Ullmann,1959-1978,Ullmann,Liv,F,1939,199x,R:lead,\No,,,
Tracey Ullman,1980-1990,Ullmann,Tracey,F,1959,199x,R:comic,Great Britain,,Mt(Allen McKeown; P),
Leonore Ulric,1923-1947,Ulrich,Leonore,F,1892,1970,RU:,USA,,,
Miyoshi Umeki,1957-1963,Umeki,Miyoshi,F,1929,199x,R:lead,\Ja,,,
Edward Underdown,1933-1972,Underdown,Edward,M,1908,199x,RU:,Great Britain,,,
Mary Ure,1955-1971,Ure,Mary,F,1933,1975,R:lead,Great Britain,,,
Minerva Urecal,1937-1964,Urecal,Minerva,F,1896,1966,R:nasty,USA,,,
Robert Urich,,,,M,[1],199x,RU:,\Un,,
Robert Urquhart,1951-1974,Urquhart,Robert,M,1922,199x,R:character,Great Britain(Scot),
Peter Ustinov,1940-1982,Ustinov,Peter,M,1921,199x,"R:garrulous, hirsute",Great Britain,,"Also(D,W)",
Badi Uzza,,,,,[1],199x,RU:,\Un,,
