Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Daalder,D<> DReD,@1980,Daalder,Renee,,\Un,USA,,
dAbbabie,D,HAA,@1930,d'Abbadie d'Arrast,Harry,19xx,\Un,,,
Dabadie,WD,JLD,@1983,Dabadie,Jean Loup,[1],\Un,France,Er(dow),
daFontoura,D,ACd,@1968,daFontoura,Antonio Carlos,,\Un,Great Britain,,
Dahl,D,IDa,@1990-1992,Dahl,John,[1],\Un,USA,Si(Rick Dahl),
Daley,D,SaD,@1970,Daley,Sandy,,\Un,USA,,
R.Daley,P,,1976,Daley,Robert,,\Un,USA,Ww(Eastwood),
Dalva,D,RoD,@1983,Dalva,Robert,,\Un,USA,,
dAmato,D,JdA,@1990,D'Amato,Joe,,\Un,Italy,,
Damiani,D,DaD,@1982,Damiani,Damiono,,\Un,USA,,
Damiano,D,GrD,@1972,Damiano,Gerard,,\Un,USA,,
Damianos,D,AxD,@1966,Damianos,Alexis,,\Un,Greece,,
Damski,D,MDa,@1980-1983,Damski,Mel,,\Un,USA,,
Daneliuc,D,MDn,@1994,Daneliuc,Mircea,19xx,\Un,Romania,,
Daniel,D,RdD,@1991,Daniel,Rod,,\Un,USA,,
Daniels,C,,19xx,Daniels,William,,\Un,USA,St(MGM),
Danielson,D,TgD,@1980,Danielson,Tage,"[1,6]",\Un,Sweden,Er(Or),
Danquart,D,PDq,@1993,Danquart,Pepe,19xx,\Un,,,
Danska,D,HbD,@1966,Danska,Herbert,,\Un,,,
Dante,D,JoD,@1976-1980,Dante,Joe,[1],\Un,USA,Er(Or) Ww(Corman),
Darabont,D,FDa,@1994,Darabont,Frank,,199x,\Un,,
Darby,D,JDy,@1997,Darby,Jonathan,19xx,199x,,,
Darnell,D,EwD,@1998,Darnell,Edwin,,\Un,,,
DArrast,D,HDA,@1927-1934,D'Arrast,Harry D'Abadie,1893,1968,USA,,
Dardenne,D,LuD,@1990-1999,Dardenne,Luc,,199x,\Un,Ww(Jean-Pierre Dardenne) Er(@),
Dash,D,JDs,@1992,Dash,Julie,19xx,\Un,USA,Gd(F) Note(black),
Dassin,DA,JD,@1942-1980,Dassin,Jules,1911,\Un,USA,Er(France) Mt(Melina Mercouri),
Daugherty,D,HeD,@1958-1963,Daugherty,Hershel,[1],\Un,USA,Ww(Hitchcock; TV),
Daves,WPD,DeD,@1933-1965,Daves,Delmer,1904,1977,USA,"St(MGM,Warners)",
David,D,ChD,@1945,David,Charles,,\Un,Great Britain,Er(Or),
G.Davidson,D,GDa,@1972,Davidson,Gordon,,\Un,USA,,
M.Davidson,D,MtD,@1980,Davidson,Martin,,\Un,USA,,
T.Davies,D,TDv,@1990,Davies,Terence,19xx,\Un,,,
V.Davies,D,VDa,@1955,Davies,Valentine,19xx,\Un,,,
A.Davis,D,ADv,@1988-1993,Davis,Andrew,,\Un,USA,,
D.Davis,D,DDa,@1981,Davis,Desmond,,\Un,USA,,
T.Davis,D,TDa,@1993,Davis,Tamra,,\Un,USA,,
Davy,D,JFD,@1982,Davy,Jean-Francois,19xx,\Un,France,,
Dawson,D,AMD,@1965-1983,Dawson,Anthony M.\,,\Un,USA,,
E.Day,D,ErD,@1981,Day,Ernest,,\Un,USA,,
R.Day,CD,RDa,@1957-1980,Day,Robert,1922,\Un,Great Britain,,
Dayan,D,ADy,@1993,Dayan,Assi,,\Un,Israel,,
Dayton,PD,LyD,@1990,Dayton,Lyman,,\Un,,,
Dean,PD,BDn,@1930-1939,Dean,Basil,1888,1978,Great Britain,Fd(ATP) Fd(ENSA),
deAntoni,D,AbA,@1917,de Antoni,Alberto,,,Italy,,
deAntonio,D,EdA,@1970-1989,deAntonio,Emil,1950?,1989?,USA,Ty(political Docu) Er(dow) Er(Or),
Dear,D,WiD,@1983-1994,Dear,William,,\Un,USA,,
B.Dearden,EDP,BaD,@1941-1970,Dearden,Basil,1911,1971,Great Britain,Ww(Michael Relph) Nt(often CoD),
J.Dearden,D,JDr,@1991,Dearden,James,,\Un,USA,,
deBello,AWD,IdB,@1978,deBello,John,,\Un,USA,,
DeBroca,D,PdB,@1961-1967,deBroca,Philippe,,\Un,France,,
DeBont,CD,JDB,@1994,De Bont,Jan,19xx,\Un,,Ww(Verhoeven),
deBosio,D,xDB,@1975,De Bosio,\Un,[1][23],\Un,Italy,,
Henri~Decae,C,,@1959,"Deca\""e",Henri,19xx,\Un,France,,
deCanonge,D,MCg,@1949,deCanonge,Maurice,,\Un,,,
Decoin,D,HDc,@1937-1964,Decoin,Henri,1896,1969,France,,
deConcini,D,EdC,@1973,de Concini,Ennio,[1],\Un,Italy,,
deCordova,D,FdC,@1945-1966,deCordova,Frederick,1910,\Un,,,
deCrescenzo,D,LdC,@1984,de Crescenzo,Luciano,,\Un,Italy,,
Deed,AD,AnD,@1921,Deed,Andre,19xx,\Un,,,
DeFelitta,D,FDF,@1991,De Felitta,Frank,19xx,199x,,,
DeFilippo,BWDA,EDF,@1932,Passarelli,Eduardo,1900,1984,Italy,,
DegliAbbati,D,ADA,@1914,Degli Abbati,Alberto,19xx,\Un,Italy,,
deHeredia,D,xdH,@1950,deHeredia,gn,,\Un,Spain,,
Deitch,PD,DDe,@1985,Deitch,Donna,19xx,\Un,,,
deJong,D,MdJ,@1994,de Jong,MiJke,19xx,\Un,Holland,,
Dekker,D,FrD,@1993,Dekker,Fred,19xx,\Un,,,
DeKobra,D,MDK,@1927,DeKobra,Maurice,19xx,\Un,France,,
DelaEglesia,D,EdE,@1983,de la Eglesia,Eloy,,\Un,Spain,,
Delannoy,D,JnD,@1940-1967,Delannoy,Jean,1908,\Un,France,"Also(Journalist, cutter)",
delaPatelliere,D,DdP,@1980,de la Patelliere,Denys,,\Un,,,
DeLaurentiis,P,,1939-1981,De Laurentiis,Dino,1919,\Un,Italy,"Mt(Silvana Mangano,) Fd(Ponti-deLaurentiis, Dinocitta)",
F.DeLaurentiis,P,,1980,De Laurentiis,Frederico,1950,1981,Italy,"Ch(Dino DeLaurentiis, Silvana Mangano)",
R.DeLaurentiis,P,,19xx,De Laurentiis,Raffaella,,,Italy,Gd(F),
Delerue,C,,1958-1983,Delerue,Georges,1925,\Un,France,,
deLiguoro,D,GdL,@1909,de Liguoro,Guiseppe,19xx,\Un,Italy,,
deLimur,D,JdL,@1929,deLimur,Jean,,\Un,,,
Dell,D,JeD,@1944,Dell,Jeffrey,,\Un,Great Britain,,
Delluc,WD,LD,@1920-1924,Delluc,Louis,1892,1924,France,Ty(impressionist) Mt(Eve Francis),
Delpeut,D,PDp,@1994,Delpeut,Peter,19xx,\Un,,,
delRuth,WD,RdR,@1929-1960,del Ruth,Roy,1895,1961,USA,Ty(competent),
DeLuise,D,DLD,@1979,DeLuise,Dom,,\Un,USA,,
delToro,D,GdT,@1994-1997,del Toro,Guillermo,19xx,\Un,Mexico,,
Delvaux,MDV,ADx,@1953-1989,Delvaux,Andre,1926,\Un,Belgium,,
J.Demme,WDP,JDe,@1974-1980,Demme,Jonathan,,\Un,USA,"Mt(Evelyn Purcell; P,W)",
T.Demme,D,TDe,@1992,Demme,Ted,,\Un,USA,,
Demicheli,D,xDe,@1959,Demicheli,gn,[1],\Un,Spain,Er(Ct),
DeMille,DPA,CDM,@1913-1959,DeMille,Cecil B.,1881,1959,USA,,
W.DeMille,BWDP,WDM,@1916-1928,DeMille,William C.,1878,1955,USA,Si(DeMille),
A.DeMille,GA,,1922,DeMille,Agnes,1905,1993,USA,Ch(W.DeMille),
J.Demy,WD,JqD,@1960-1979,Demy,Jaques,1931,1990,France,"Mt(Agnes Varda; R,D) Pa(Mathieu Demy; A) Er(Warda)",
deNiro,D,RdN,@1993,deNiro,Robert,1943,\Un,USA,Mainly(A),
Denis,D,ClD,@1988,Denis,Claire,1947,\Un,France,Gd(F),
Densham,D,PDe,@1998,Densham,Pen,,\Un,,,
deOliveira,WDPCE,MdO,@1930-1999,de Oliveira,Manoel Candido Pinto,1908,\Un,Portugal,,
B.dePalma,D,BdP,@1968-1987,de Palma,Brian,,\Un,,Inb(Hitchcock) Mt(Nancy Allen),
F.dePalma,D,FdP,@1986,de Palma,Frank,,\Un,,Ty(TV),
Depp,AD,IDe,@1997,Depp,Johnny,1963,199x,\Un,,
Derek,ADC,IDk,@1964-1981,Harris,John Derek,1926,\Un,USA,Mt(Bo Derek),
deRoubais,WDC,PdR,@1963,de Roubais,Paul,,\Un,France,,
DeSantis,WD,GdS,@1947-1972,De Santis,Guiseppe,1917,\Un,Italy,,
Deschanel,CD,CDe,@1982-1990,Deschanel,Caleb,,\Un,,,
deSica,DAS,VdS,@1941-1973,de Sica,Vittorio,1901,1974,Italy,,
DeSimone,D,TDS,@1981,DeSimone,Tom,,\Un,USA,,
deToth,D,ADT,@1940-1969,de Toth,Andre,1912,\Un,Hungary,Nt(one-eyed),
Deutsch,D,HoD,@1986-1994,Deutsch,Howard,,\Un,USA,,
Devers,D,CDv,@1993,Devers,Claire,19xx,\Un,France,Inb(Bresson) Gd(F),
deVille,D,MdV,@1986-1992,deVille,Michel,,\Un,France,,
D.deVito,AD,DdV,@1988-1989,de Vito,Danny,[1],\Un,USA,,
R.DeVito,D,RDV,@1977,DeVito,Ralph,,\Un,USA,,
Dexter,D,IDx,@1969-1971,Dexter,John,,1990,\US,,
Dhavan,D,DvD,@1998,Dhavan,David,,\Un,,,
Dhery,DA,RDh,@1967,Dhery,Robert,19xx,\Un,France,,
IAL.Diamond,W,,1997,Diamond,Isador A.L. (Izzy),19xx,1988,,Ww(B.Wilder),
