Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Jablonski,D,DzJ,@1999,Jablonski,Dariusz,19xx,19yy,Poland,,
M.Jackson,D,MiJ,@1990-1993,Jackson,Mick,,\Un,Great Britain,Ty(TV),
P.Jackson,WD,PaJ,@1941-1964,Jackson,Patrick,,\Un,Great Britain,,
W.Jackson,D,WlJ,@1949,Jackson,Wilfred,,\Un,USA,Ww(Disney),
Peter.Jackson,D,PeJ,@1993,Jackson,Peter,,\Un,,,
Jacobs,D,AJa,@1995,Jacobs,Alan,19xx,\Un,,note(Stanford; 1991),
Jacobson,D,AJs,@1927,Jacobson,Arthur,[1],\Un,USA,St(Paramount),
Jaeckin,D,JuJ,@1974-1985,Jaeckin,Just,,,France,,
Jacquot,D,BJq,@1990-1995,Jacquot,Benoit,,199x,France,,
Jaglom,DA,HJ,@1971-1980,Jaglom,Henry,1941,\Un,USA,Ty(excentric) St(independent) Ww(Orson Wells) Lw(Andrea Marcovicci; singer) Mt(Victoria Foyt; A),
Jameson,D,JeJ,@1972-1980,Jameson,Jerry,,\Un,USA,,
Jarman,D,DeJ,@1978-1994,Jarman,Derek,,\Un,USA,,
Jarmusch,D,JJm,@1983-1989,Jarmusch,Jim,,\Un,USA,,
Jarrot,D,CJ,@1962-1982,Jarrot,Charles,1927,\Un,Great Britain,,
Jason,D,LeJ,@1928-1952,Jason,Leigh,1904,1979,USA,Ty(sec.features),
Jean,D,RJe,@1989,Jean,Raymond,,\Un,France,,
Jeffries,ADW,LJe,@1970-1978,Jeffries,Lionel,1926,\Un,Great Britain,,
Jeffrey,D,TJe,@1979,Jeffrey,Tom,,\Un,USA,,
Jenkins,WD,TJk,@1998,Jenkins,Tamara,,\Un,,Ge(F),
Jennings,D,HuJ,@1943,Jennings,Humphrey,,\Un,Great Britain,Ty(Docu),
H.Jessup,V,,1988,Jessup,Harley,,\Un,USA,Nt(Stanford MFA '78),
Jewell,D,AuJ,@1957,Jewell,Austen,,\Un,USA,,
Jewison,D,NJ,@1963-1988,Jewison,Norman,1926,\Un,Canada,,
Jhabvala,W,,1965-1993,Jhabvala,Ruth Prawer,19xx,\Un,Germany,"Ww(Ivory, Merchant)",
Jimenez,WD,NJi,@1992,Jimenez,Neal,,\Un,USA,,
Joanou,D,PhJ,@1990,Joanou,Phil,,\Un,,,
Jodorowsky,DWA,AJy,@1971,Jodorowsky,Alexendro,[1],\Un,Mexico,Er(Or),
C.R.Joffe,P,,1985,Joffe,Charles R.,19xx,\Un,\US,Ww(Woody Allen),
A.Joffe,CDW,AxJ,@1946,Joffe,Alexandre,1918,\Un,France,,
M.Joffe,D,MkJ,@1996-1998,Joffe,Mark,19xx,\Un,France,,
R.Joffe,D,RoJ,@1984-1999,Joffe,Roland,,,Great Britain,,
A.Johnson,D,AlJ,@1983,Johnson,Alan,[1],,,,
L.Johnson,D,LaJ,@1967-1983,Johnson,Lamont,1920,\Un,USA,,
M.S.Johnson,WD,MSJ,@1998,Johnson,Mark Steven,19xx,\Un,USA,,
P.R.Johnson,D,PRJ,@1994,Johnson,Patrick Read,19xx,\Un,,,
Nunally~J.,WPD,NuJ,@1953-1965,Johnson,Nunally,1897,1977,USA,,
Johnston,D,JJo,@1989-1999,Johnston,Joe,[6],\Un,USA,St(Industrial Light and Magic),
A.Jones,WD,AJo,@1983,Jones,Amy,,\Un,,Gd(F) Ww(Dieterle?),
Ch.Jones,D,CJo,@1940-1990,Jones,Charles M. (Chuck),1912,199x,,"Ty(Daffy Duck Cartoons) St(Warners) Er(dow, but close, 1935?)",
D.Jones,D,DvJ,@1989-1993,Jones,David,[1],\Un,,,
F.R.Jones,D,FRJ,@1929,Jones,F.Richard,,\Un,USA,,
H.Jones,D,HrJ,@1951-1966,Jones,Harmon,1911,1972,Canada,,
K.Jones,WD,KJo,@1998,Jones,Kriak,,\Un,USA,,
L.Jones,D,LJo,@1973,Jones,Lee,,\Un,USA,,
J.C.Jones,D,JCJ,@1973,Jones,James Cellan,,\Un,,,
Q.Jones,MP,,,Jones,Quincy,,\Un,USA,"Mt(Peggy Lipton, Natassia Kinsky)",
L.Q.Jones,AD,LQJ,@1975,McQueen,L.E.,1936,\Un,USA,,
T.Jones,D,TrJ,@1979-1987,Jones,Terry,[1],,Great Britain,Ty(Monty Python),
G.Jordan,D,GlJ,@1973-1993,Jordan,Glenn,,\Un,USA,,
N.Jordan,WD,NeJ,@1982-1992,Jordan,Neil,1950,\Un,Ireland,Ww(Boorman),
Jordon,D,GJo,@1983,Jordon,Glenn,,\Un,USA,,
Julian,D,RuJ,@1923-1930,Julian,Rupert,1886,1943,USA,,
Julien,D,IsJ,@1989-1991,Julien,Isaac,1960,\Un,Great Britain,,
Adrien~Joyce,W,,1975,Eastman,Carol,,\Un,USA,Nt(same as actress?),
J.Judge,DW,JJu,@1954,Judge,Joel,19xx,\Un,,,
M.Judge,D,MJu,@1998,Judge,Mike,19xx,\Un,,Note(creator of Beavis & Butthead),
Junger,D,GJu,@1999,Junger,Gil,19xx,19yy,,,
Junghans,D,CJu,@1929,Junghans,Carl,,\Un,,,
Junil,D,ZJu,@1949,Junil,Zheng,,\Un,,,
Juran,VD,NJu,@1952-1975,Hertz,Nathan,1907,\Un,Austria,,
Justiniano,D,GoJ,@1985,Justiniano,Gonzalo,19xx,\Un,
Jutzi,CD,PJ,@1929-1931,Jutzi,Piel,[1],,Germany,,
